455 150 8 8 8
455 150 8 8 8
130 20 5 5 -5
130 20 5 5 -5
162 25 6 6 -6
80 20 3 3 -3
85 25 3 3 -3
55 10 1 1 -1
55 10 1 1 -1
55 10 1 1 -1
455 150 8 8 8
455 150 8 8 8
130 20 5 5 -5
130 20 5 5 -5
162 25 6 6 -6
80 20 3 3 -3
85 25 3 3 -3
55 10 1 1 -1
55 10 1 1 -1
55 10 1 1 -1
455 150 8 8 8
455 150 8 8 8
130 20 5 5 -5
130 20 5 5 -5
162 25 6 6 -6
80 20 3 3 -3
85 25 3 3 -3
55 10 1 1 -1
55 10 1 1 -1
55 10 1 1 -1
455 150 8 8 8
455 150 8 8 8
130 20 5 5 -5
130 20 5 5 -5
162 25 6 6 -6
80 20 3 3 -3
85 25 3 3 -3
55 10 1 1 -1
55 10 1 1 -1
55 10 1 1 -1
455 150 8 8 8
455 150 8 8 8
130 20 5 5 -5
130 20 5 5 -5
162 25 6 6 -6
80 20 3 3 -3
85 25 3 3 -3
55 10 1 1 -1
55 10 1 1 -1
55 10 1 1 -1
1000 16.19 0.00048 4500 9000 5
970 17.26 0.00031 5000 10000 5
700 16.60 0.00200 550 1100 4
680 16.50 0.00211 560 1120 4
450 19.70 0.00398 900 1800 4
370 22.26 0.00712 170 340 2
480 27.74 0.00079 260 520 2
660 25.92 0.00413 30 60 0
665 27.27 0.00222 30 60 0
670 27.79 0.00173 30 60 0
1000 16.19 0.00048 4500 9000 5
970 17.26 0.00031 5000 10000 5
700 16.60 0.00200 550 1100 4
680 16.50 0.00211 560 1120 4
450 19.70 0.00398 900 1800 4
370 22.26 0.00712 170 340 2
480 27.74 0.00079 260 520 2
660 25.92 0.00413 30 60 0
665 27.27 0.00222 30 60 0
670 27.79 0.00173 30 60 0
1000 16.19 0.00048 4500 9000 5
970 17.26 0.00031 5000 10000 5
700 16.60 0.00200 550 1100 4
680 16.50 0.00211 560 1120 4
450 19.70 0.00398 900 1800 4
370 22.26 0.00712 170 340 2
480 27.74 0.00079 260 520 2
660 25.92 0.00413 30 60 0
665 27.27 0.00222 30 60 0
670 27.79 0.00173 30 60 0
1000 16.19 0.00048 4500 9000 5
970 17.26 0.00031 5000 10000 5
700 16.60 0.00200 550 1100 4
680 16.50 0.00211 560 1120 4
450 19.70 0.00398 900 1800 4
370 22.26 0.00712 170 340 2
480 27.74 0.00079 260 520 2
660 25.92 0.00413 30 60 0
665 27.27 0.00222 30 60 0
670 27.79 0.00173 30 60 0
1000 16.19 0.00048 4500 9000 5
970 17.26 0.00031 5000 10000 5
700 16.60 0.00200 550 1100 4
680 16.50 0.00211 560 1120 4
450 19.70 0.00398 900 1800 4
370 22.26 0.00712 170 340 2
480 27.74 0.00079 260 520 2
660 25.92 0.00413 30 60 0
665 27.27 0.00222 30 60 0
670 27.79 0.00173 30 60 0
700 750 850 950 1000 1100 1150 1200 1300 1400 1450 1500 1400 1300 1200 1050 1000 1100 1200 1400 1300 1100 900 800
